1	HALO WARS DEFINITIVE EDITION	1	2025-07-12 02:46:18.720784
2	HALO WARS 2 ULTIMATE EDITION	1	2025-07-12 02:46:18.9208
3	CYBERPUNK 2077	1	2025-07-12 02:46:19.12416
4	MARVEL'S SPIDER-MAN MILES MORALES	1	2025-07-12 02:46:19.320512
5	ASSASSIN'S CREED II DELUXE EDITION	1	2025-07-12 02:46:19.523242
6	ALAN WAKE II DELUXE EDITION	1	2025-07-12 02:46:19.720133
7	CALL OF DUTY VANGUARD	1	2025-07-12 02:46:19.918187
8	CALL OF DUTY BLACK OPS II PLUTONIUM	1	2025-07-12 02:46:20.12294
9	JUST CAUSE 4 COMPLETE EDITION	1	2025-07-12 02:46:20.320255
10	ASSASSIN'S CREED ODYSSEY GOLD EDITION	1	2025-07-12 02:46:20.518088
11	BATMAN ARKHAM KNIGHT PREMIUM EDITION	1	2025-07-12 02:46:20.732133
12	MAFIA DEFINITIVE EDITION	1	2025-07-12 02:46:20.930099
13	MAFIA 2 DEFINITIVE EDITION	1	2025-07-12 02:46:21.129089
14	SAINTS ROW PLATINUM EDITION	1	2025-07-12 02:46:21.327538
15	WOLFENSTEIN II THE NEW COLOSSUS	1	2025-07-12 02:46:21.532269
16	WATCH DOGS 2 DELUXE EDITION	1	2025-07-12 02:46:21.728243
17	TOM CLANCY'S GHOST RECON WILDLANDS GOLD EDITION	1	2025-07-12 02:46:21.924185
18	FAR CRY 6 GOLD EDITION	1	2025-07-12 02:46:22.12218
19	OUTPOST INFINITY SIEGE VANGUARD EDITION	1	2025-07-12 02:46:22.318315
20	DYING LIGHT 2 STAY HUMAN	1	2025-07-12 02:46:22.515703
21	MARVEL SPIDER-MAN 2 DELUXE EDITION	1	2025-07-12 02:46:22.715591
22	DEAD SPACE 2	1	2025-07-12 02:46:22.914715
23	ROBOCOP ROGUE CITY	1	2025-07-12 02:46:23.114545
24	ASSASSIN'S CREED VALHALLA	1	2025-07-12 02:46:23.312312
25	WANTED DEAD	1	2025-07-12 02:46:23.508824
26	GENERATION ZERO ULTIMATE BUNDLE	1	2025-07-12 02:46:23.706679
28	FAR CRY PRIMAL	1	2025-07-12 02:46:24.110371
30	SAINTS ROW 2	1	2025-07-12 02:46:24.510136
31	SHADOW OF THE TOMB RAIDER DEFINITIVE EDITION	1	2025-07-12 02:46:24.706116
32	RATCHET AND CLANK RIFT APART	1	2025-07-12 02:46:24.906868
33	NEED FOR SPEED HEAT DELUXE EDITION	1	2025-07-12 02:46:25.10813
34	DAYMARE 1994 SANDCASTLE	1	2025-07-12 02:46:25.304401
36	SNIPER ELITE 4	1	2025-07-12 02:46:25.698755
37	FAR CRY 5	1	2025-07-12 02:46:25.898217
38	EURO TRUCK SIMULATOR 2	1	2025-07-12 02:46:26.094291
39	ASSASSIN'S CREED ORIGINS GOLD EDITION	1	2025-07-12 02:46:26.324435
40	DAYS GONE	1	2025-07-12 02:46:26.523405
41	MASS EFFECT LEGENDARY EDITION	1	2025-07-12 02:46:26.72169
42	BLACK SAILS	1	2025-07-12 02:46:26.91832
43	HITMAN ABSOLUTION PROFESSIONAL EDITION	1	2025-07-12 02:46:27.114785
44	RAGE 2 DELUXE EDITION	1	2025-07-12 02:46:27.312582
45	FAR CRY 4	1	2025-07-12 02:46:27.50908
46	CALL OF DUTY 4 MODERN WARFARE	1	2025-07-12 02:46:27.718713
47	GEARS OF WAR	1	2025-07-12 02:46:27.928129
48	BIOSHOCK INFINITE	1	2025-07-12 02:46:28.128065
49	PREY	1	2025-07-12 02:46:28.328567
50	KINGDOM HEARTS III + RE MIND	1	2025-07-12 02:46:28.528411
51	LIES OF P DELUXE EDITION	1	2025-07-12 02:46:28.734311
52	OUTCAST A NEW BEGINNING	1	2025-07-12 02:46:28.930204
54	HIGH ON LIFE	1	2025-07-12 02:46:29.326405
55	BATTLEFIELD 3	1	2025-07-12 02:46:29.525999
56	METRO LAST LIGHT	1	2025-07-12 02:46:29.728416
57	BANISHERS GHOSTS OF NEW EDEN	1	2025-07-12 02:46:29.924744
58	REMNANT II ULTIMATE EDITION	1	2025-07-12 02:46:30.124324
60	CALL OF DUTY BLACK OPS III	1	2025-07-12 02:46:30.520275
61	RAYMAN ORIGINS	1	2025-07-12 02:46:30.725524
62	FAR CRY 3	1	2025-07-12 02:46:30.924702
63	ATOMIC HEART	1	2025-07-12 02:46:31.12233
64	A PLAGUE TALE INNOCENCE	1	2025-07-12 02:46:31.327057
65	NECROMUNDA HIRED GUN	1	2025-07-12 02:46:31.529223
